chr	pos	annotation	SIFT	POLYPHEN	maxCADD	priPhCons	GerpRS	FATHMM	benign
chr1	979748	missense_variant	0.02	0.932	25.6	0.131	1343.8	0.99101	benign
chr1	985900	missense_variant	0.01	0.991	13.18	0.113	948.8	0.21704	benign
chr1	2160390	missense_variant	0.53	0.081	16.40	0.834	2654.9	0.72672	benign
chr1	5923427	missense_variant	0	0.999	1.309	0.003	NA	0.11761	benign
chr1	5935096	missense_variant	0.13	0.173	22.8	0.018	488.3	0.92599	benign
chr1	5940243	missense_variant	0.05	0.999	23.8	0.014	116.5	0.41313	benign
chr1	5950939	missense_variant	0.19	0.157	13.99	0.385	474.9	0.71461	benign
chr1	6504619	missense_variant	0	0.999	21.6	0.848	405.8	0.95757	benign
chr1	6504654	missense_variant	0.03	0.118	16.54	0.597	405.8	0.73653	benign
chr1	10397576	missense_variant	0	0.954	31	0.999	657.6	0.98730	benign
chr1	11076931	missense_variant	0.38	0.688	22.8	0.994	576.4	0.98357	benign
chr1	11076931	missense_variant	0.45	0.085	23.0	0.994	576.4	0.97106	benign
chr1	12069692	missense_variant	0.31	0.041	18.81	0.952	487.9	0.78881	benign
chr1	17326767	missense_variant	0.29	0.015	13.11	0.748	408.4	0.06388	benign
chr1	24180962	missense_variant	0.03	0.005	14.88	0.177	323.7	0.09211	benign
chr1	25717365	missense_variant	0.03	0.032	22.7	0.582	166.1	0.21572	benign
chr1	25735202	missense_variant	0.93	0.03	0.125	0.006	NA	0.00971	benign
chr1	25735306	missense_variant	0.91	0.01	1.485	0.000	235.7	0.05776	benign
chr1	25735331	missense_variant	0.05	0.498	4.608	0.017	235.7	0.34862	benign
chr1	25747230	missense_variant	0.92	0.003	1.452	0.018	NA	0.01410	benign
chr1	26131654	missense_variant	1	0	2.700	0.107	NA	0.00760	benign
chr1	26140573	missense_variant	0.02	0.004	12.32	0.174	64.8	0.36774	benign
chr1	33276331	missense_variant	0	1	33	0.995	1335.6	0.97518	benign
chr1	33478877	missense_variant	0.59	0.107	20.6	0.754	1012.2	0.99143	benign
chr1	35250457	missense_variant	0	1	14.26	0.024	2285.5	0.84573	benign
chr1	35250676	missense_variant	0.21	0.029	12.20	0.065	2285.5	0.32809	benign
chr1	35250720	missense_variant	0.15	0.644	10.54	0.237	2285.5	0.82256	benign
chr1	35250892	missense_variant	0	1	16.06	0.217	2285.5	0.95950	benign
chr1	35250892	missense_variant	0	1	15.79	0.217	2285.5	0.96091	benign
chr1	35250961	missense_variant	0.11	0.123	13.20	0.211	2285.5	0.79475	benign
chr1	41296828	missense_variant	0.32	0.008	14.44	0.971	724.5	0.79067	benign
chr1	45795027	missense_variant	0.04	0.572	5.051	0.057	NA	0.03348	benign
chr1	45795027	missense_variant	0.41	0.006	5.829	0.057	NA	0.00998	benign
chr1	45795084	missense_variant	0.05	0.19	10.95	0.555	171.1	0.06816	benign
chr1	45797505	missense_variant	0.11	0.087	10.63	0.082	3429.1	0.14733	benign
chr1	45800156	missense_variant	0.07	0.072	16.37	0.804	123.4	0.21230	benign
chr1	45973124	missense_variant	0	0.958	21.7	0.973	690.3	0.97306	benign
chr1	46655158	missense_variant&splice_region_variant	1	0	22.3	0.984	2481.5	0.18317	benign
chr1	46658095	missense_variant	0	0.977	28.0	0.986	1341.3	0.99138	benign
chr1	46662456	missense_variant	1	0.003	17.14	0.514	2219.2	0.81271	benign
chr1	47717245	missense_variant	0.73	0.001	8.355	0.770	2064	0.01061	benign
chr1	47726084	missense_variant	0.04	0.048	17.28	0.131	832.3	0.82656	benign
chr1	47726087	missense_variant	0.55	0.005	0.015	0.076	832.3	0.08611	benign
chr1	47726183	missense_variant	0	0.787	23.8	0.828	832.3	0.90206	benign
chr1	47746113	missense_variant	0.62	0	4.710	0.413	1910.3	0.03870	benign
chr1	47746867	missense_variant	0.89	0.049	0.910	0.972	1910.3	0.36843	benign
chr1	47746868	missense_variant	0.23	0.905	23.9	0.970	1910.3	0.92205	benign
chr1	47767914	missense_variant	1	0	15.73	0.275	441.5	0.01944	benign
chr1	52851599	missense_variant	0.88	0	0.002	0.046	253.9	0.03980	benign
